INFO:root:Horário de início 1714519869.0746686 e término 1714519869.1025817, nome do arquivo: teste, tamanho do arquivo: 6,origem do arquivo('127.0.0.1', 44503), checksum calculado: cf2c2deaa7d8fc856ffec595380da4d7275ecf98, checksum recebido: cf2c2deaa7d8fc856ffec595380da4d7275ecf98
INFO:root:Horário de início 1714519928.5987508 e término 1714519928.6117563, nome do arquivo: teste, tamanho do arquivo: 6 Bytes,origem do arquivo('127.0.0.1', 47680), checksum calculado: cf2c2deaa7d8fc856ffec595380da4d7275ecf98, checksum recebido: cf2c2deaa7d8fc856ffec595380da4d7275ecf98
INFO:root:Horário de início 1714520029.4995987 e término 1714520070.209867, nome do arquivo: testeImagem.jpg, tamanho do arquivo: 4022684 Bytes,origem do arquivo('127.0.0.1', 45434), checksum calculado: 97c9f7f9a9313fbe72eeb32cd183762038e844cb, checksum recebido: 97c9f7f9a9313fbe72eeb32cd183762038e844cb
INFO:root:Horário de início 2024-04-30 20:38:36.624510 e término 2024-04-30 20:38:36.634923, nome do arquivo: teste, tamanho do arquivo: 6 Bytes,origem do arquivo('127.0.0.1', 43744), checksum calculado: cf2c2deaa7d8fc856ffec595380da4d7275ecf98, checksum recebido: cf2c2deaa7d8fc856ffec595380da4d7275ecf98
INFO:root:Horário de início 2024-04-30 20:48:06.859807 e término 2024-04-30 20:48:06.870298, nome do arquivo: /home/pedro/Documentos/Sistemas_Distribuidos/laboratório-3/ex2/pastaUpload/test, tamanho do arquivo: 6 Bytes,origem do arquivo('127.0.0.1', 44522), checksum calculado: cf2c2deaa7d8fc856ffec595380da4d7275ecf98, checksum recebido: cf2c2deaa7d8fc856ffec595380da4d7275ecf98
INFO:root:Horário de início 2024-04-30 20:48:54.173441 e término 2024-04-30 20:48:54.204223, nome do arquivo: /home/pedro/Documentos/Sistemas_Distribuidos/laboratório-3/ex2/server.p, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 37351), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 20:51:49.885606 e término 2024-04-30 20:51:49.916439, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 40637), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 20:52:11.932947 e término 2024-04-30 20:52:11.963795, nome do arquivo: client.py, tamanho do arquivo: 2201 Bytes,origem do arquivo('127.0.0.1', 37315), checksum calculado: 7012c39768a33c1806671fc05f3e0097e09dd63b, checksum recebido: 7012c39768a33c1806671fc05f3e0097e09dd63b
INFO:root:Horário de início 2024-04-30 20:59:36.113101 e término 2024-04-30 20:59:36.143906, nome do arquivo: client.py, tamanho do arquivo: 2092 Bytes,origem do arquivo('127.0.0.1', 48596), checksum calculado: 20d8a39a4cae717a76af76a66538e79d8ec5e43c, checksum recebido: 20d8a39a4cae717a76af76a66538e79d8ec5e43c
INFO:root:Horário de início 2024-04-30 20:59:57.383110 e término 2024-04-30 20:59:57.460262, nome do arquivo: laboratório-2.tar.g, tamanho do arquivo: 5690 Bytes,origem do arquivo('127.0.0.1', 50940), checksum calculado: db3f9b3ab6688c765584615f8acda70e98f118fb, checksum recebido: db3f9b3ab6688c765584615f8acda70e98f118fb
INFO:root:Horário de início 2024-04-30 21:01:03.380560 e término 2024-04-30 21:01:03.411545, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 37262), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 21:01:20.137540 e término 2024-04-30 21:01:20.199091, nome do arquivo: laboratório-2.tar.g, tamanho do arquivo: 5690 Bytes,origem do arquivo('127.0.0.1', 38132), checksum calculado: db3f9b3ab6688c765584615f8acda70e98f118fb, checksum recebido: db3f9b3ab6688c765584615f8acda70e98f118fb
INFO:root:Horário de início 2024-04-30 21:02:49.050637 e término 2024-04-30 21:02:49.112316, nome do arquivo: laboratório-2.tar.gz, tamanho do arquivo: 5690 Bytes,origem do arquivo('127.0.0.1', 57917), checksum calculado: db3f9b3ab6688c765584615f8acda70e98f118fb, checksum recebido: db3f9b3ab6688c765584615f8acda70e98f118fb
INFO:root:Horário de início 2024-04-30 21:03:14.764835 e término 2024-04-30 21:03:55.467765, nome do arquivo: testeImagem.jpg, tamanho do arquivo: 4022684 Bytes,origem do arquivo('127.0.0.1', 54050), checksum calculado: 97c9f7f9a9313fbe72eeb32cd183762038e844cb, checksum recebido: 97c9f7f9a9313fbe72eeb32cd183762038e844cb
INFO:root:Horário de início 2024-04-30 21:10:30.692499 e término 2024-04-30 21:10:30.724626, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 59442), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 21:11:08.767108 e término 2024-04-30 21:11:08.798370, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 49428), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 21:11:48.355669 e término 2024-04-30 21:12:07.499966, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 57111), checksum calculado: 4ccf9dfb710d24000a95ed07a8326b7eef2264ef, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 21:15:29.100131 e término 2024-04-30 21:15:29.131391, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 46367), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 21:16:35.094053 e término 2024-04-30 21:16:35.125544, nome do arquivo: server.py, tamanho do arquivo: 2245 Bytes,origem do arquivo('127.0.0.1', 33500), checksum calculado: f4550fed5f2c28a2e48473565183bcf7b897a238, checksum recebido: f4550fed5f2c28a2e48473565183bcf7b897a238
INFO:root:Horário de início 2024-04-30 23:22:27.684875 e término 2024-04-30 23:22:27.715973, nome do arquivo: client.py, tamanho do arquivo: 2744 Bytes,origem do arquivo('127.0.0.1', 34664), checksum calculado: 572372b64320eb1c7d71d15085fd6107d3b6bb85, checksum recebido: 572372b64320eb1c7d71d15085fd6107d3b6bb85
INFO:root:Horário de início 2024-07-17 20:41:52.133225 e término 2024-07-17 20:41:52.174777, nome do arquivo: chatp2p.py, tamanho do arquivo: 4034 Bytes,origem do arquivo('127.0.0.1', 34215), checksum calculado: ad0635a4c6e7c188a9cdb841d2375c0cf535c7fe, checksum recebido: ad0635a4c6e7c188a9cdb841d2375c0cf535c7fe
INFO:root:Horário de início 2024-07-17 20:42:44.988392 e término 2024-07-17 20:42:52.008240, nome do arquivo: projeto.zip, tamanho do arquivo: 693002 Bytes,origem do arquivo('127.0.0.1', 54181), checksum calculado: 93fd644893e20c173fa5080cc382659abcbecc71, checksum recebido: 93fd644893e20c173fa5080cc382659abcbecc71
